epoch 268: steps 1242, actor loss -0.292047, critic loss 0.236639
epoch 269: steps 1348, actor loss -0.304067, critic loss 0.461693
epoch 270: steps 1594, actor loss -0.334944, critic loss 0.186395
epoch 271: steps 1091, actor loss -0.328815, critic loss 0.49756
epoch 272: steps 1364, actor loss -0.338786, critic loss 0.3466
epoch 273: steps 1176, actor loss -0.330021, critic loss 0.342369
epoch 274: steps 1095, actor loss -0.356603, critic loss 0.388348
epoch 275: steps 928, actor loss -0.347037, critic loss 0.506265
epoch 276: steps 784, actor loss -0.351045, critic loss 0.465208
epoch 277: steps 983, actor loss -0.393451, critic loss 0.444311
epoch 278: steps 825, actor loss -0.395302, critic loss 0.367725
epoch 279: steps 813, actor loss -0.446472, critic loss 0.430568
epoch 280: steps 836, actor loss -0.481088, critic loss 0.321418
epoch 281: steps 823, actor loss -0.465192, critic loss 0.353146
epoch 282: steps 637, actor loss -0.499336, critic loss 0.295568
epoch 283: steps 556, actor loss -0.494815, critic loss 0.384944
epoch 284: steps 693, actor loss -0.583767, critic loss 0.354604
epoch 285: steps 461, actor loss -0.456364, critic loss 0.420612
epoch 286: steps 359, actor loss -0.398171, critic loss 0.267488
epoch 287: steps 416, actor loss -0.518076, critic loss 0.30354
epoch 288: steps 421, actor loss -0.579755, critic loss 0.302375
epoch 289: steps 313, actor loss -0.489589, critic loss 0.313594
epoch 290: steps 429, actor loss -0.593168, critic loss 0.29886
epoch 291: steps 306, actor loss -0.42953, critic loss 0.204341
epoch 292: steps 627, actor loss -0.738032, critic loss 0.350464
epoch 293: steps 784, actor loss -0.806953, critic loss 0.40232
epoch 294: steps 975, actor loss -0.783188, critic loss 0.351827
epoch 295: steps 716, actor loss -0.732567, critic loss 0.369064
epoch 296: steps 1226, actor loss -0.800914, critic loss 0.370112
epoch 297: steps 1038, actor loss -0.748984, critic loss 0.350401
epoch 298: steps 1051, actor loss -0.724975, critic loss 0.340823
epoch 299: steps 1272, actor loss -0.705435, critic loss 0.317931
epoch 300: steps 1362, actor loss -0.736728, critic loss 0.319657
epoch 301: steps 1336, actor loss -0.679249, critic loss 0.310151
epoch 302: steps 1368, actor loss -0.662912, critic loss 0.276791
epoch 303: steps 1584, actor loss -0.631018, critic loss 0.264675
epoch 304: steps 1713, actor loss -0.61843, critic loss 0.241237
epoch 305: steps 1595, actor loss -0.60694, critic loss 0.254277
epoch 306: steps 1743, actor loss -0.580641, critic loss 0.250134
epoch 307: steps 1615, actor loss -0.568941, critic loss 0.210747
epoch 308: steps 1982, actor loss -0.579041, critic loss 0.189733
epoch 309: steps 1694, actor loss -0.534276, critic loss 0.199121
epoch 310: steps 1800, actor loss -0.535216, critic loss 0.177603
epoch 311: steps 1822, actor loss -0.498396, critic loss 0.150457
epoch 312: steps 1855, actor loss -0.506468, critic loss 0.160338
epoch 313: steps 1802, actor loss -0.481619, critic loss 0.191144
epoch 314: steps 1662, actor loss -0.464577, critic loss 0.165882
epoch 315: steps 1624, actor loss -0.451708, critic loss 0.138065
epoch 316: steps 1682, actor loss -0.455102, critic loss 0.187989
epoch 317: steps 1756, actor loss -0.420098, critic loss 0.124456
epoch 318: steps 1661, actor loss -0.451428, critic loss 0.18517
epoch 319: steps 1943, actor loss -0.45496, critic loss 0.126416
epoch 320: steps 1688, actor loss -0.442813, critic loss 0.173071
epoch 321: steps 1844, actor loss -0.438452, critic loss 0.122332
epoch 322: steps 1800, actor loss -0.406221, critic loss 0.126704
epoch 323: steps 1742, actor loss -0.40872, critic loss 0.147181
epoch 324: steps 1869, actor loss -0.40985, critic loss 0.153455
epoch 325: steps 1902, actor loss -0.401477, critic loss 0.142009
epoch 326: steps 2000, actor loss -0.42855, critic loss 0.105445
epoch 327: steps 1853, actor loss -0.443104, critic loss 0.162149
epoch 328: steps 1963, actor loss -0.402641, critic loss 0.0948735
epoch 329: steps 1818, actor loss -0.410799, critic loss 0.119443
epoch 330: steps 1781, actor loss -0.391551, critic loss 0.141276
epoch 331: steps 1860, actor loss -0.414919, critic loss 0.10717
epoch 332: steps 1859, actor loss -0.441046, critic loss 0.174148
epoch 333: steps 1566, actor loss -0.423678, critic loss 0.179185
epoch 334: steps 1741, actor loss -0.420004, critic loss 0.147688
epoch 335: steps 1973, actor loss -0.429472, critic loss 0.121931
epoch 336: steps 1785, actor loss -0.401197, critic loss 0.123612
epoch 337: steps 1914, actor loss -0.374054, critic loss 0.100201
epoch 338: steps 1893, actor loss -0.3815, critic loss 0.149348
epoch 339: steps 1655, actor loss -0.353189, critic loss 0.185162
epoch 340: steps 2000, actor loss -0.401534, critic loss 0.0890099
epoch 341: steps 1753, actor loss -0.372871, critic loss 0.146259
epoch 342: steps 1672, actor loss -0.362775, critic loss 0.164611
epoch 343: steps 1821, actor loss -0.322349, critic loss 0.138308
epoch 344: steps 1957, actor loss -0.36533, critic loss 0.105635
epoch 345: steps 1952, actor loss -0.353656, critic loss 0.0900468
epoch 346: steps 2000, actor loss -0.341445, critic loss 0.0663935
epoch 347: steps 1778, actor loss -0.333529, critic loss 0.167104
epoch 348: steps 2000, actor loss -0.288413, critic loss 0.0465699
epoch 349: steps 1833, actor loss -0.354799, critic loss 0.150885
epoch 350: steps 2000, actor loss -0.334046, critic loss 0.0638091
epoch 351: steps 2000, actor loss -0.324585, critic loss 0.0576146
epoch 352: steps 1583, actor loss -0.284745, critic loss 0.168816
epoch 353: steps 2000, actor loss -0.33224, critic loss 0.0675555
epoch 354: steps 1946, actor loss -0.32687, critic loss 0.0822866
epoch 355: steps 1578, actor loss -0.277837, critic loss 0.219169
epoch 356: steps 1784, actor loss -0.27404, critic loss 0.108476
epoch 357: steps 1766, actor loss -0.298395, critic loss 0.131318
epoch 358: steps 1997, actor loss -0.329301, critic loss 0.0799641
epoch 359: steps 1583, actor loss -0.291296, critic loss 0.192521
epoch 360: steps 1863, actor loss -0.273802, critic loss 0.144224
epoch 361: steps 1866, actor loss -0.297369, critic loss 0.101039
epoch 362: steps 1884, actor loss -0.289584, critic loss 0.0726627
epoch 363: steps 1887, actor loss -0.312515, critic loss 0.0892228
epoch 364: steps 1292, actor loss -0.240083, critic loss 0.336215
epoch 365: steps 1925, actor loss -0.2923, critic loss 0.0793258
epoch 366: steps 1548, actor loss -0.26973, critic loss 0.256674
epoch 367: steps 1863, actor loss -0.28831, critic loss 0.0837542
epoch 368: steps 1833, actor loss -0.310404, critic loss 0.138586
epoch 369: steps 1529, actor loss -0.247752, critic loss 0.274842
epoch 370: steps 1817, actor loss -0.285575, critic loss 0.107046
epoch 371: steps 1654, actor loss -0.28085, critic loss 0.179183
epoch 372: steps 1686, actor loss -0.258657, critic loss 0.195175
epoch 373: steps 1791, actor loss -0.293123, critic loss 0.155668
epoch 374: steps 1741, actor loss -0.302042, critic loss 0.166986
epoch 375: steps 1786, actor loss -0.291261, critic loss 0.128455
epoch 376: steps 1868, actor loss -0.304269, critic loss 0.108732
epoch 377: steps 1814, actor loss -0.295867, critic loss 0.14966
epoch 378: steps 1457, actor loss -0.265555, critic loss 0.218666
epoch 379: steps 1593, actor loss -0.272588, critic loss 0.181206
epoch 380: steps 1666, actor loss -0.29042, critic loss 0.170015
epoch 381: steps 1786, actor loss -0.30671, critic loss 0.137274
epoch 382: steps 1408, actor loss -0.3082, critic loss 0.18316
epoch 383: steps 1593, actor loss -0.273919, critic loss 0.177245
epoch 384: steps 1302, actor loss -0.25911, critic loss 0.275455
epoch 385: steps 1471, actor loss -0.332172, critic loss 0.15458
epoch 386: steps 1184, actor loss -0.305722, critic loss 0.236536
epoch 387: steps 1494, actor loss -0.364016, critic loss 0.135754
epoch 388: steps 1373, actor loss -0.34633, critic loss 0.192138
epoch 389: steps 1435, actor loss -0.376027, critic loss 0.175111
epoch 390: steps 1249, actor loss -0.353341, critic loss 0.199236
epoch 391: steps 1055, actor loss -0.337714, critic loss 0.331242
epoch 392: steps 1544, actor loss -0.460576, critic loss 0.147902
epoch 393: steps 1178, actor loss -0.387677, critic loss 0.216314
epoch 394: steps 808, actor loss -0.311173, critic loss 0.420232
epoch 395: steps 1390, actor loss -0.420849, critic loss 0.201423
epoch 396: steps 1364, actor loss -0.431649, critic loss 0.165286
epoch 397: steps 1423, actor loss -0.432388, critic loss 0.175451
epoch 398: steps 1043, actor loss -0.368707, critic loss 0.226652
epoch 399: steps 1573, actor loss -0.466109, critic loss 0.177499
epoch 400: steps 1589, actor loss -0.446104, critic loss 0.156251
epoch 401: steps 1675, actor loss -0.431256, critic loss 0.153385
epoch 402: steps 1775, actor loss -0.408652, critic loss 0.131216
epoch 403: steps 1863, actor loss -0.433617, critic loss 0.151179
epoch 404: steps 1863, actor loss -0.410737, critic loss 0.172066
epoch 405: steps 1896, actor loss -0.423354, critic loss 0.122582
epoch 406: steps 1878, actor loss -0.421219, critic loss 0.121348
epoch 407: steps 1768, actor loss -0.376177, critic loss 0.117019
epoch 408: steps 1909, actor loss -0.383234, critic loss 0.119541
epoch 409: steps 1912, actor loss -0.433709, critic loss 0.129247
epoch 410: steps 1937, actor loss -0.449455, critic loss 0.121467
epoch 411: steps 1949, actor loss -0.431026, critic loss 0.113742
epoch 412: steps 1848, actor loss -0.402193, critic loss 0.125484
epoch 413: steps 2000, actor loss -0.408363, critic loss 0.0968795
epoch 414: steps 1926, actor loss -0.382537, critic loss 0.129915
epoch 415: steps 2000, actor loss -0.352486, critic loss 0.0717427
epoch 416: steps 1979, actor loss -0.370742, critic loss 0.0865256
epoch 417: steps 2000, actor loss -0.337782, critic loss 0.0676817
epoch 418: steps 2000, actor loss -0.338341, critic loss 0.0684168
epoch 419: steps 2000, actor loss -0.313615, critic loss 0.056269
epoch 420: steps 1965, actor loss -0.308572, critic loss 0.0754382
epoch 421: steps 2000, actor loss -0.272267, critic loss 0.0447469
epoch 422: steps 2000, actor loss -0.216484, critic loss 0.0258072
epoch 423: steps 2000, actor loss -0.249787, critic loss 0.0348988
epoch 424: steps 2000, actor loss -0.253174, critic loss 0.0382445
epoch 425: steps 1881, actor loss -0.182252, critic loss 0.0656031
epoch 426: steps 2000, actor loss -0.190628, critic loss 0.0241072
epoch 427: steps 2000, actor loss -0.169292, critic loss 0.0170811
epoch 428: steps 2000, actor loss -0.199694, critic loss 0.0255463
epoch 429: steps 2000, actor loss -0.192069, critic loss 0.0220521
epoch 430: steps 2000, actor loss -0.171273, critic loss 0.0163365
epoch 431: steps 2000, actor loss -0.164891, critic loss 0.0171027
epoch 432: steps 2000, actor loss -0.12976, critic loss 0.00974983
epoch 433: steps 2000, actor loss -0.152576, critic loss 0.0164457
epoch 434: steps 1819, actor loss -0.149122, critic loss 0.110861
epoch 435: steps 2000, actor loss -0.107459, critic loss 0.00726783
epoch 436: steps 2000, actor loss -0.122572, critic loss 0.0104227
epoch 437: steps 2000, actor loss -0.0982401, critic loss 0.00848481
epoch 438: steps 1815, actor loss -0.0881134, critic loss 0.0569683
epoch 439: steps 2000, actor loss -0.0768921, critic loss 0.00735311
epoch 440: steps 2000, actor loss -0.0858646, critic loss 0.00727909
epoch 441: steps 2000, actor loss -0.103983, critic loss 0.00702994
epoch 442: steps 1981, actor loss -0.053792, critic loss 0.0812853
epoch 443: steps 2000, actor loss -0.0796905, critic loss 0.00695122
epoch 444: steps 2000, actor loss -0.0551637, critic loss 0.00381188
