epoch 372: steps 1893, actor loss 0.04235, critic loss 0.07501
epoch 373: steps 1794, actor loss 0.061936, critic loss 0.0729087
epoch 374: steps 2000, actor loss 0.0585553, critic loss 0.0160429
epoch 375: steps 1983, actor loss 0.0892181, critic loss 0.0315404
epoch 376: steps 1985, actor loss 0.0518566, critic loss 0.0140351
epoch 377: steps 2000, actor loss 0.0476885, critic loss 0.00928554
epoch 378: steps 1932, actor loss 0.0598369, critic loss 0.0446847
epoch 379: steps 1877, actor loss 0.051209, critic loss 0.0989886
epoch 380: steps 1937, actor loss 0.0520864, critic loss 0.0942882
epoch 381: steps 2000, actor loss 0.056497, critic loss 0.0137378
epoch 382: steps 1958, actor loss 0.0604849, critic loss 0.0380836
epoch 383: steps 1990, actor loss 0.0542447, critic loss 0.0156262
epoch 384: steps 1931, actor loss 0.0388535, critic loss 0.0163922
epoch 385: steps 2000, actor loss 0.0376949, critic loss 0.00837222
epoch 386: steps 1979, actor loss 0.0571334, critic loss 0.0367862
epoch 387: steps 2000, actor loss 0.027133, critic loss 0.00616403
epoch 388: steps 1998, actor loss 0.042951, critic loss 0.0183654
epoch 389: steps 1973, actor loss 0.0440204, critic loss 0.0319622
epoch 390: steps 1880, actor loss 0.0266074, critic loss 0.0698161
epoch 391: steps 1913, actor loss 0.0283116, critic loss 0.0707256
epoch 392: steps 1932, actor loss 0.0350709, critic loss 0.0974162
epoch 393: steps 2000, actor loss 0.0282045, critic loss 0.00532973
epoch 394: steps 2000, actor loss 0.0249132, critic loss 0.00729833
epoch 395: steps 2000, actor loss 0.0435032, critic loss 0.0103688
epoch 396: steps 1974, actor loss 0.0523333, critic loss 0.0362832
epoch 397: steps 2000, actor loss 0.0325856, critic loss 0.00864712
epoch 398: steps 1988, actor loss 0.0275405, critic loss 0.0295
epoch 399: steps 1839, actor loss 0.017379, critic loss 0.0873078
epoch 400: steps 2000, actor loss 0.0370064, critic loss 0.00996419
epoch 401: steps 2000, actor loss 0.0262307, critic loss 0.00710102
epoch 402: steps 1855, actor loss 0.0333277, critic loss 0.118612
epoch 403: steps 1940, actor loss 0.0367805, critic loss 0.0241484
epoch 404: steps 2000, actor loss 0.0320352, critic loss 0.00985081
epoch 405: steps 2000, actor loss 0.0277361, critic loss 0.00823075
epoch 406: steps 2000, actor loss 0.0226417, critic loss 0.00598226
epoch 407: steps 2000, actor loss 0.0138779, critic loss 0.00380395
epoch 408: steps 2000, actor loss 0.0270603, critic loss 0.00660678
epoch 409: steps 2000, actor loss 0.0276654, critic loss 0.00670575
epoch 410: steps 1802, actor loss 0.0166778, critic loss 0.085497
epoch 411: steps 2000, actor loss 0.0141577, critic loss 0.00556978
epoch 412: steps 2000, actor loss 0.0181984, critic loss 0.00602399
epoch 413: steps 2000, actor loss 0.0216489, critic loss 0.0061706
epoch 414: steps 2000, actor loss 0.0153353, critic loss 0.00394757
epoch 415: steps 1943, actor loss 0.0168431, critic loss 0.0900247
epoch 416: steps 2000, actor loss 0.0129158, critic loss 0.00371291
epoch 417: steps 2000, actor loss 0.0318151, critic loss 0.0115075
epoch 418: steps 1988, actor loss 0.0229321, critic loss 0.0482523
epoch 419: steps 2000, actor loss 0.00938293, critic loss 0.00305048
epoch 420: steps 2000, actor loss 0.0056495, critic loss 0.00247613
epoch 421: steps 2000, actor loss 0.00332301, critic loss 0.00191895
epoch 422: steps 1994, actor loss 0.023435, critic loss 0.0492698
epoch 423: steps 1994, actor loss 0.0278093, critic loss 0.100104
epoch 424: steps 2000, actor loss 0.0160244, critic loss 0.00421547
epoch 425: steps 2000, actor loss 0.0145452, critic loss 0.0031321
epoch 426: steps 2000, actor loss 0.0221058, critic loss 0.00610964
epoch 427: steps 2000, actor loss 0.0308346, critic loss 0.00901647
epoch 428: steps 2000, actor loss 0.0114766, critic loss 0.00349704
epoch 429: steps 2000, actor loss 0.0253, critic loss 0.00678283
epoch 430: steps 2000, actor loss 0.0160122, critic loss 0.00579032
epoch 431: steps 2000, actor loss 0.0150911, critic loss 0.00413223
epoch 432: steps 1886, actor loss 0.00571417, critic loss 0.0976528
epoch 433: steps 2000, actor loss 0.00888291, critic loss 0.00278264
epoch 434: steps 2000, actor loss 0.0163097, critic loss 0.0036418
epoch 435: steps 2000, actor loss 0.0121335, critic loss 0.00326158
epoch 436: steps 2000, actor loss 0.0225128, critic loss 0.00667113
epoch 437: steps 2000, actor loss 0.00987821, critic loss 0.00358654
epoch 438: steps 2000, actor loss 0.00352897, critic loss 0.00151901
epoch 439: steps 2000, actor loss 0.0167328, critic loss 0.0048421
